default_profile,default_profile_image,favorites_count,followers_count,friends_count,geo_enabled,id,lang,location,statuses_count,verified,average_tweets_per_day,account_age_days,account_type
FALSE,FALSE,4282,9179,1275,TRUE,368050288,en,"Washington, DC",11104,TRUE,3.395,3271,human
FALSE,FALSE,588,163616,115,FALSE,14418045,en,Malaysia,77975,TRUE,17.301,4507,human
FALSE,FALSE,29136,585,900,TRUE,296484990,en,United States,8803,FALSE,2.598,3388,human
TRUE,FALSE,307,3745,2,FALSE,9.32E+17,en,The Internet,2371,FALSE,2.362,1004,bot
TRUE,FALSE,9678,137,140,TRUE,99352713,fr,unknown,7043,FALSE,1.811,3889,human
TRUE,FALSE,171,249184,984,FALSE,519045260,ar,الرياض,26368,FALSE,8.547,3085,human
FALSE,FALSE,7612,5362,355,TRUE,115343506,en,"Lahore, Pakistan",10273,FALSE,2.679,3835,human
TRUE,FALSE,6184,704,598,FALSE,2166882457,en,unknown,5675,FALSE,2.286,2483,human
FALSE,FALSE,2361,64,156,TRUE,381157528,en,"Hollywood, Los Angeles",2780,FALSE,0.856,3248,bot
TRUE,FALSE,125,3,0,FALSE,721944734,en,unknown,19,FALSE,0.006,2944,bot
FALSE,FALSE,915,267,246,TRUE,3392143521,en,"Philadelphia, PA",1337,FALSE,0.723,1848,human
FALSE,FALSE,13869,108660,1247,TRUE,23330998,en,hassan@cgpolicy.org,66559,TRUE,15.919,4181,human
FALSE,FALSE,2554,387,328,FALSE,63176889,en,lost angels,27929,FALSE,6.929,4031,human
TRUE,FALSE,50242,276,509,TRUE,239861947,it,unknown,30093,FALSE,8.598,3500,human
FALSE,FALSE,16011,157466,1031,TRUE,21758143,en,"Wexford,Ireland/London,England",33820,TRUE,8.066,4193,human
TRUE,FALSE,1332,12,11,FALSE,7.66E+17,en,unknown,1332,FALSE,0.911,1462,bot
FALSE,FALSE,618,30999003,1748,TRUE,19923144,en,unknown,259723,TRUE,61.619,4215,bot
FALSE,FALSE,722,1300,1137,TRUE,235667666,,unknown,70176,FALSE,19.993,3510,human
FALSE,FALSE,109753,184,436,FALSE,1191444692,en,unknown,3569,FALSE,1.303,2739,human
FALSE,FALSE,2896,338,743,TRUE,2499018968,,unknown,7167,FALSE,3.135,2286,human
FALSE,FALSE,1,93,233,FALSE,557842655,en,Wisconsin,3733,FALSE,1.227,3043,human
FALSE,FALSE,2583,108,0,FALSE,23331044,id,iowa! nothing but corn:) ,5626,FALSE,1.346,4181,bot
FALSE,FALSE,9955,1285743,850,TRUE,321388777,en,contact@gotaga.tv,38906,TRUE,11.628,3346,human
TRUE,FALSE,2925,1541148,628,TRUE,298320111,pt,los angeles,2619,TRUE,0.774,3385,human
FALSE,FALSE,1325,25,851,FALSE,51904755,,unknown,1807,FALSE,0.444,4069,bot
FALSE,FALSE,5023,101576,286,FALSE,243794165,en,Pitchside,9728,FALSE,2.787,3491,human
FALSE,FALSE,253,317,413,TRUE,2918711542,it,"Florencia, Toscana",3110,FALSE,1.498,2076,bot
FALSE,FALSE,0,164313,5577,FALSE,123470069,,"서울 홍대 (Hongdae, Seoul)",36737,FALSE,9.645,3809,human
TRUE,FALSE,0,916,0,FALSE,2943615224,ja,unknown,3416,FALSE,1.656,2063,bot
FALSE,FALSE,708,179268,867,TRUE,127664378,en,Jamaica,6130,TRUE,1.615,3795,human
TRUE,FALSE,247,23,267,FALSE,1084227842,en,unknown,100,FALSE,0.036,2775,bot
TRUE,FALSE,2404,61,28,TRUE,122159370,,"Jacksonville, Florida",3288,FALSE,0.862,3813,bot
FALSE,FALSE,3617,1437950,935,TRUE,39321874,pt,unknown,300978,TRUE,73.106,4117,bot
FALSE,FALSE,5,197,7,FALSE,9.49E+17,en,"Washington, DC",14599,FALSE,15.255,957,bot
FALSE,FALSE,9557,205,702,TRUE,2178679070,en,unknown,1916,FALSE,0.774,2477,human
TRUE,FALSE,199,2,0,FALSE,2980315426,en,unknown,29,FALSE,0.014,2042,bot
FALSE,FALSE,342,1491,158,TRUE,17039652,id,unknown,4339,FALSE,1.006,4311,human
TRUE,FALSE,772,65,114,FALSE,1.01E+18,,htx,1281,FALSE,1.651,776,human
FALSE,FALSE,42296,7235,3115,TRUE,202375506,en,unknown,61631,FALSE,17.134,3597,human
FALSE,FALSE,2492,16,0,FALSE,347865421,en,"HCMC, Vietnam",3418,FALSE,1.035,3303,bot
TRUE,FALSE,564,24,57,TRUE,572785000,,unknown,741,FALSE,0.245,3026,bot
TRUE,FALSE,1047,13,106,FALSE,4790681969,en,unknown,241,FALSE,0.143,1680,human
FALSE,FALSE,2317,18,0,FALSE,380457314,en,unknown,3204,FALSE,0.986,3249,bot
FALSE,FALSE,51376,13281,1858,FALSE,15729017,en,"Los Angeles, CA",54581,FALSE,12.413,4397,human
FALSE,FALSE,1497,21046,3025,TRUE,596377986,en,"Brussels, Belgium",4616,TRUE,1.538,3001,human
FALSE,FALSE,2152,7,27,FALSE,711721350,,unknown,3072,FALSE,1.042,2949,bot
FALSE,FALSE,71,4476,568,TRUE,326369679,,Pakistán,52,FALSE,0.016,3338,bot
FALSE,FALSE,3069,1064,172,TRUE,866648466,pt,unknown,73482,FALSE,25.586,2872,bot
TRUE,FALSE,21,31,4,FALSE,7.09E+17,en,unknown,3547,FALSE,2.19,1620,bot
TRUE,FALSE,1202,13,392,FALSE,7.22E+17,,unknown,1755,FALSE,1.108,1584,bot
FALSE,FALSE,16665,84574,2843,TRUE,418,en,NYC / Kingston,73412,TRUE,14.233,5158,human
TRUE,FALSE,2479,47,166,FALSE,19399072,,NYC/Dusseldorf ,3073,FALSE,0.727,4225,bot
TRUE,FALSE,87,1,0,FALSE,8.76E+17,ar,unknown,413,FALSE,0.356,1159,bot
TRUE,FALSE,942,21,46,FALSE,7.34E+17,zh-cn,"Tokyo-to, Japan",366,FALSE,0.236,1550,bot
TRUE,FALSE,1301,56,25,FALSE,8.16E+17,,United States,1826,FALSE,1.38,1323,human
FALSE,FALSE,250,68745,0,FALSE,611582397,de,Wala kang PAKE!,4857,FALSE,1.628,2984,human
FALSE,FALSE,15985,13893,1506,TRUE,57409991,en,"Bethesda, MD",21759,TRUE,5.371,4051,human
FALSE,FALSE,4019,110,1112,FALSE,46662096,en,ROCHESTER NY,508,FALSE,0.124,4085,human
FALSE,FALSE,18353,1077,2043,TRUE,101974483,en,"New York, NY",785,FALSE,0.202,3879,human
FALSE,FALSE,1861,356,4412,TRUE,2610430435,,unknown,2611,FALSE,1.169,2234,bot
FALSE,FALSE,607,4254877,2668,TRUE,38797799,en,unknown,38105,TRUE,9.249,4120,human
FALSE,FALSE,6464,103334,576,FALSE,30409200,en,unknown,70123,TRUE,16.905,4148,human
TRUE,FALSE,13883,171,1049,TRUE,24117754,,"springfield, mo",10757,FALSE,2.575,4177,human
FALSE,FALSE,8888,680345,183,TRUE,491258363,en,Mumbai,6911,TRUE,2.223,3109,human
TRUE,FALSE,3544,25,45,FALSE,4112253434,lt,unknown,3646,FALSE,2.083,1750,bot
TRUE,FALSE,160,26,131,FALSE,8.73E+17,en,"Maryland, USA",152,FALSE,0.13,1167,human
FALSE,FALSE,17028,407,186,FALSE,8.77E+17,it,unknown,6880,FALSE,5.952,1156,bot
TRUE,FALSE,7338,4201705,885,FALSE,287834630,en,unknown,14173,TRUE,4.165,3403,human
TRUE,FALSE,58490,446,807,TRUE,62915097,en,unknown,52732,FALSE,13.078,4032,human
TRUE,FALSE,231,113181,297,TRUE,261620277,es,Santiago de Chile,8028,FALSE,2.324,3454,human
FALSE,FALSE,1476,33334,385,FALSE,15729207,en,"Chapel Hill, NC",28586,TRUE,6.501,4397,human
FALSE,FALSE,2,4577055,1,FALSE,114557496,ru,"Moscow, Russia",1070,TRUE,0.279,3837,human
FALSE,FALSE,1115,2015401,14905,FALSE,19923515,es,España,435389,TRUE,103.295,4215,bot
TRUE,FALSE,2747,223,624,FALSE,50856512,en,"Austintown, Ohio",5447,FALSE,1.338,4072,bot
TRUE,FALSE,114220,492,856,TRUE,1377305161,en,"Fox Chase, PA • Chandler, AZ",107091,FALSE,40.064,2673,human
FALSE,FALSE,344286,1662199,924,TRUE,586,en,Wyoming and Montana,75456,TRUE,14.649,5151,human
TRUE,FALSE,343,3,0,FALSE,30147163,,FFB ar,557,FALSE,0.134,4149,bot
FALSE,FALSE,148,168610,85,TRUE,483656289,,unknown,8563,FALSE,2.746,3118,human
FALSE,FALSE,8536,152,659,FALSE,848036460,en,"Syracuse, NY",4124,FALSE,1.43,2883,human
FALSE,FALSE,11,56,0,TRUE,336069232,it,malaysia,256,FALSE,0.077,3322,human
FALSE,FALSE,12742,1151962,2597,TRUE,128799124,es,Perú,15949,TRUE,4.206,3792,human
TRUE,FALSE,12587,73307,2850,TRUE,114557557,en,"Houston, TX",43615,TRUE,11.367,3837,human
FALSE,FALSE,1864,96,267,FALSE,111673973,en,Paramount,3565,FALSE,0.927,3847,human
FALSE,FALSE,1701,731524,302,TRUE,848822905,en,Las Vegas ,7196,TRUE,2.496,2883,human
FALSE,FALSE,20877,8,265,FALSE,265814650,en,US,807,FALSE,0.234,3446,bot
FALSE,FALSE,2526,7,330,TRUE,133694084,en,U.S.A,3160,FALSE,0.837,3777,bot
FALSE,FALSE,13644,792,290,TRUE,1658061462,,"Florida, USA",18679,FALSE,7.279,2566,human
FALSE,FALSE,7386,306,446,TRUE,60031646,en,In your mind,24894,FALSE,6.157,4043,human
FALSE,FALSE,601,27613,104,FALSE,111936162,en,Above the sky,15912,TRUE,4.137,3846,human
FALSE,FALSE,3489,71,312,FALSE,2768241314,en,"Columbus, Ohio",1873,FALSE,0.857,2185,human
TRUE,FALSE,1951,6,43,FALSE,703857318,,unknown,2633,FALSE,0.892,2953,bot
TRUE,FALSE,666,28,40,FALSE,632029895,,"Miami, Florida",910,FALSE,0.307,2961,bot
FALSE,FALSE,1876,43,0,FALSE,1587544788,,"Tijuana, Baja California",2799,FALSE,1.079,2595,bot
FALSE,FALSE,2314,49,87,TRUE,243794651,,unknown,3233,FALSE,0.926,3491,bot
FALSE,FALSE,428,173010,344,TRUE,788792041,es,unknown,5020,TRUE,1.724,2912,human
TRUE,FALSE,17019,96,145,FALSE,1692140268,tl,atx,1381,FALSE,0.541,2553,human
TRUE,FALSE,799,16,12,FALSE,15467245,en,"Augusta, GA",1172,FALSE,0.265,4415,bot
TRUE,FALSE,46919,271,346,FALSE,721683182,en,"Ohio, USA",19460,FALSE,6.61,2944,human
FALSE,FALSE,46961,310,420,TRUE,3282830066,de,Road to happiness,11102,FALSE,5.972,1859,human
FALSE,FALSE,14392,210561,6801,TRUE,20447988,en,"Denver, CO",25776,TRUE,6.125,4208,human
FALSE,FALSE,29970,1835,2570,TRUE,94896901,es,Chile,65537,FALSE,16.766,3909,human
FALSE,FALSE,322,121,101,TRUE,88081160,es,Tierra Santa,23163,FALSE,5.882,3938,human
FALSE,FALSE,2175,6154982,334,TRUE,63701775,en,unknown,39887,TRUE,9.9,4029,human
FALSE,FALSE,2006,31,85,FALSE,30933781,en,State of Confusion,2679,FALSE,0.646,4145,human
TRUE,FALSE,9677,24,81,FALSE,8.89E+17,,tx,1246,FALSE,1.111,1122,human
TRUE,TRUE,34,0,0,FALSE,276562720,,unknown,37,FALSE,0.011,3425,bot
FALSE,FALSE,62208,1672,389,TRUE,256115497,en,frostburg state univ.,161386,FALSE,46.576,3465,human
TRUE,FALSE,49,31,142,TRUE,4848354100,en,unknown,2034,FALSE,1.22,1667,human
TRUE,FALSE,28461,512,355,TRUE,2318140218,en,Earth,43205,FALSE,18.055,2393,human
FALSE,FALSE,1105,57038,613,FALSE,2581857086,en,INDIA,167326,TRUE,74.367,2250,human
TRUE,FALSE,37745,96,383,FALSE,1739064128,en,unknown,1157,FALSE,0.456,2538,human
FALSE,FALSE,3146,1032551,0,TRUE,47186755,,"Chicago, IL",91,FALSE,0.022,4083,human
TRUE,FALSE,1053,40,592,FALSE,8.61E+17,en,"Estambul, Turquía",1233,FALSE,1.028,1200,bot
FALSE,FALSE,20442,1630092,4946,TRUE,20710218,en,"Secaucus, NJ",68901,TRUE,16.385,4205,bot
FALSE,FALSE,19,272796,95,FALSE,20972371,en,New Media,10591,FALSE,2.52,4202,bot
TRUE,TRUE,1125,18,0,FALSE,1681392474,,unknown,311,FALSE,0.122,2557,human
FALSE,FALSE,7531,384,226,TRUE,795083617,en,"Illinois, USA",41501,FALSE,14.266,2909,human
FALSE,FALSE,1418,29739,545,TRUE,221512549,en,Los Angeles,1984,FALSE,0.559,3549,human
FALSE,FALSE,2784,1318800,20,TRUE,18088810,,unknown,3995,TRUE,0.936,4267,human
FALSE,FALSE,179,48,104,FALSE,29361001,id,Florida,1245,FALSE,0.3,4152,human
FALSE,FALSE,179,3508,150,FALSE,939262832,,unknown,490,TRUE,0.173,2838,human
TRUE,FALSE,27066,620,870,TRUE,3101950833,en,Milwaukee native in Florida  ,29993,FALSE,15.171,1977,human
FALSE,FALSE,1651,1599,544,FALSE,386139005,en,Virginia,737,FALSE,0.228,3239,human
TRUE,TRUE,10,1,497,FALSE,220464007,,unknown,221,FALSE,0.062,3552,human
TRUE,FALSE,2196,143,381,TRUE,792462217,en,unknown,1892,FALSE,0.65,2910,human
FALSE,FALSE,6327,18136,3,TRUE,477365128,en,LOS ANGELES,610,TRUE,0.195,3125,human
FALSE,FALSE,2472,3,44,FALSE,39846828,,"Portland, OR",3145,FALSE,0.764,4115,bot
FALSE,FALSE,4901,1595,1249,TRUE,1849164720,en,"New York, NY",6915,TRUE,2.728,2535,human
FALSE,FALSE,1149,20126,264,TRUE,91227068,en,"Montana, USA",2589,TRUE,0.66,3925,human
FALSE,FALSE,6986,2605,628,TRUE,34866114,en,"Atlanta, GA",9832,TRUE,2.378,4135,human
TRUE,FALSE,1353,426,583,TRUE,1021313990,,unknown,3764,FALSE,1.344,2800,human
TRUE,FALSE,20,79,31,FALSE,41681878,en,"Ontario, Canada",8054,FALSE,1.961,4107,bot
TRUE,FALSE,990,20,135,FALSE,34079698,en,"Michigan, USA",1177,FALSE,0.285,4137,bot
TRUE,FALSE,547,13,0,FALSE,409207765,,France,751,FALSE,0.234,3204,bot
FALSE,FALSE,94,606,106,TRUE,24642526,en,"Nashville, TN",1205,FALSE,0.289,4174,human
TRUE,FALSE,1883,74,40,FALSE,1.03E+18,,unknown,509,FALSE,0.705,722,human
FALSE,FALSE,3061,279,459,TRUE,24380395,en,unknown,1538,FALSE,0.368,4175,human
FALSE,FALSE,1862,221,121,FALSE,46662639,,São Paulo,3551,FALSE,0.869,4085,human
TRUE,FALSE,129,8,0,FALSE,172753966,af,"le puy,france",31,FALSE,0.008,3672,bot
FALSE,FALSE,112640,3652,1131,TRUE,18351153,cy,unknown,33270,TRUE,7.817,4256,human
FALSE,FALSE,14811,311,323,TRUE,863765552,tr,"Carmel, IN",19908,FALSE,6.927,2874,bot
TRUE,FALSE,2289,32,168,TRUE,856949808,,unknown,3128,FALSE,1.087,2878,bot
TRUE,FALSE,179,5,0,FALSE,495453239,en,unknown,28,FALSE,0.009,3105,bot
FALSE,FALSE,1139,2,42,TRUE,800588862,,unknown,1746,FALSE,0.601,2906,bot
TRUE,FALSE,2359,23,69,FALSE,120587348,en,"Kenosha County, WI",3663,FALSE,0.959,3818,bot
TRUE,FALSE,19868,83404,91815,FALSE,307233876,en,日本,56015,FALSE,16.622,3370,bot
FALSE,FALSE,1950,48,126,TRUE,342099030,,istanbul,2937,FALSE,0.887,3312,bot
FALSE,FALSE,2771,198654,1114,FALSE,5768282,ja,東京都世田谷区桜新町,52620,FALSE,10.838,4855,human
TRUE,FALSE,8433,797,844,FALSE,448529505,ja,unknown,164577,FALSE,52.131,3157,bot
FALSE,FALSE,405,130,215,FALSE,1.01E+18,en,"Columbus, OH",154,FALSE,0.193,797,human
TRUE,FALSE,1250,25,0,FALSE,202900592,en,unknown,1951,FALSE,0.543,3596,bot
FALSE,FALSE,6832,2313068,647,FALSE,38536306,en,BobSaget.com,2833,TRUE,0.687,4121,human
FALSE,FALSE,17654,24444,1573,TRUE,130286723,en,"Mordor, New Jersey",9160,TRUE,2.419,3787,human
FALSE,FALSE,1813,720,435,FALSE,8.98E+17,en,"New Orleans, LA",2373,FALSE,2.159,1099,human
TRUE,FALSE,1786,49,247,TRUE,2362967176,en,"stalybridge, Tameside",474,FALSE,0.2,2367,bot
FALSE,FALSE,340,28,407,FALSE,171705488,,"Santiago, Chile",163,FALSE,0.044,3675,bot
FALSE,FALSE,140,1492643,84,TRUE,78120081,en,Brazil,15152,TRUE,3.81,3977,human
FALSE,FALSE,3032,24,412,FALSE,7.70E+17,fr,"Orléans, France",305,FALSE,0.21,1452,bot
FALSE,FALSE,1047,837019,25,FALSE,78644388,en,"Detroit, MI",2707,TRUE,0.681,3975,human
TRUE,FALSE,1332,10,36,FALSE,7.66E+17,vi,unknown,1335,FALSE,0.913,1463,bot
FALSE,FALSE,80,23247,18817,FALSE,1320158370,en,"El Cairo, Egipto",10442,FALSE,3.873,2696,human
TRUE,FALSE,35315,1033,890,TRUE,833356976,en,NYC,42784,FALSE,14.804,2890,human
TRUE,FALSE,845,18,27,FALSE,29885619,,unknown,1402,FALSE,0.338,4150,human
TRUE,FALSE,25,0,0,FALSE,8.77E+17,ar,unknown,197,FALSE,0.171,1155,bot
TRUE,FALSE,1074,104,278,TRUE,1028654280,it,Allegra e ottimista,6216,FALSE,2.223,2796,human
FALSE,FALSE,12236,350,255,TRUE,970982604,,"Nova Friburgo, Brasil",15108,FALSE,5.352,2823,human
FALSE,FALSE,3107,1032,1573,TRUE,42730704,en,Michigan,39389,FALSE,9.602,4102,human
FALSE,FALSE,41497,707,956,FALSE,2961704150,ca,mind yours.,57812,FALSE,28.187,2051,human
FALSE,FALSE,22,205,516,FALSE,85722328,en,America ,4916,FALSE,1.245,3948,human
FALSE,FALSE,13140,4625,1232,TRUE,497288416,en,"Chicago, IL",4040,FALSE,1.302,3103,human
FALSE,FALSE,6102,1147,33,TRUE,403703016,en,United States,2953,FALSE,0.919,3212,bot
TRUE,FALSE,54,1593317,79,FALSE,320603385,it,Roma e Torino ,13301,TRUE,3.973,3348,human
FALSE,FALSE,351025,178326,8184,TRUE,880018682,en,"Palm Bay, FL",225421,TRUE,78.681,2865,human
TRUE,FALSE,1928,111,282,TRUE,29099266,,Afghanistan,964,FALSE,0.232,4153,human
FALSE,FALSE,205,429,1609,TRUE,400557314,en,👣Indus Valley👣🇮🇳👣🇬🇧,35432,FALSE,11.014,3217,human
TRUE,FALSE,374,37,29,FALSE,4328785158,en,unknown,85,FALSE,0.049,1731,bot
TRUE,FALSE,15,1,0,FALSE,8.77E+17,,unknown,162,FALSE,0.14,1155,bot
FALSE,FALSE,13688,3652,4984,TRUE,2622731,en,Runnymede Poultry Farm,33721,FALSE,6.892,4893,human
FALSE,FALSE,757,75,285,FALSE,331613467,,Kenya,1313,FALSE,0.394,3329,human
FALSE,FALSE,1210,13,37,TRUE,957089052,it,hazebrouck,1513,FALSE,0.535,2830,bot
TRUE,FALSE,4367,240,189,TRUE,2984510759,,unknown,10414,FALSE,5.107,2039,bot
FALSE,FALSE,10,744733,10,FALSE,439878961,,Cairo,13209,FALSE,4.171,3167,human
FALSE,FALSE,7717,148171,3007,FALSE,27526457,en,Los Angeles,18612,TRUE,4.474,4160,human
TRUE,FALSE,792,18800,7283,TRUE,896533819,ar,الرياض,22976,FALSE,8.039,2858,human
FALSE,FALSE,14443,48,303,TRUE,350487871,en,"Goshen, KY",4760,FALSE,1.443,3299,human
TRUE,FALSE,2378,41,341,TRUE,123209023,en,Oklahoma,3453,FALSE,0.906,3810,bot
FALSE,FALSE,296,1155477,557,TRUE,45090120,en,"Long Beach, CA",2334,TRUE,0.57,4092,human
FALSE,FALSE,3465,194,339,FALSE,2444756300,en,unknown,659,FALSE,0.284,2318,human
FALSE,FALSE,159,1119498,1439,FALSE,14157134,en,unknown,26980,TRUE,5.945,4538,human
FALSE,FALSE,15559,19985,1098,TRUE,14681449,en,"Nueva York, USA",6200,FALSE,1.382,4487,human
FALSE,FALSE,21,8,91,FALSE,9.69E+17,en,The City,26,FALSE,0.029,901,human
TRUE,FALSE,367,336,127,FALSE,9.83E+17,en,"Pensilvania, USA",1241,FALSE,1.436,864,human
TRUE,FALSE,16916,467,320,FALSE,8.39E+17,en,tri-state area,16214,FALSE,12.868,1260,human
FALSE,FALSE,26640,11630,11668,FALSE,321389968,en,"Williamsburg, VA",85246,FALSE,25.477,3346,human
FALSE,FALSE,9875,2126,2067,TRUE,22021524,en,"West Chester, PA",25797,TRUE,6.155,4191,human
FALSE,FALSE,2362,424,0,TRUE,304088468,en,"Las Vegas, NV",8028,FALSE,2.379,3375,bot
FALSE,FALSE,14909,52874,23130,TRUE,480249240,ja,東京都港区六本木,16488,FALSE,5.281,3122,human
TRUE,FALSE,1332,15,28,FALSE,7.66E+17,en,unknown,1332,FALSE,0.91,1463,bot
FALSE,FALSE,16113,232638,4044,TRUE,50595242,en,"Los Angeles, CA",44079,TRUE,10.822,4073,human
FALSE,FALSE,9620,226230,1500,TRUE,16254381,en,Zamunda (I'm the Kween to be),27336,TRUE,6.271,4359,human
FALSE,FALSE,13744,372,277,TRUE,837027265,,unknown,20772,FALSE,7.19,2889,human
FALSE,FALSE,3589,109,0,TRUE,1126958532,en,"Newberg, OR",7127,FALSE,2.582,2760,bot
FALSE,FALSE,3757,3800,1017,TRUE,38536646,en,Jerseeeey,19168,TRUE,4.651,4121,human
FALSE,FALSE,20348,264,1137,FALSE,215745990,,unknown,3388,FALSE,0.95,3565,human
TRUE,FALSE,92466,185,214,FALSE,2334131662,,milan italy,30757,FALSE,12.912,2382,bot
FALSE,FALSE,117,4072365,16,FALSE,74712538,en,England,5238,TRUE,1.313,3989,human
TRUE,FALSE,63716,1477,3773,TRUE,2727609826,en,"buffalo,N.Y.",10040,FALSE,4.537,2213,human
TRUE,FALSE,1260,6,198,FALSE,179832300,tr,"Ankara, Turquía",2031,FALSE,0.556,3654,bot
FALSE,FALSE,3257,53547,258,TRUE,2425882104,en,unknown,21218,TRUE,9.11,2329,human
TRUE,FALSE,1,171,270,FALSE,3077047801,en,Florida,2098,FALSE,1.057,1985,bot
FALSE,FALSE,68230,5140,245,TRUE,1125910016,en,"Houston, TX",85256,FALSE,30.89,2760,human
FALSE,FALSE,221,449106,1111,TRUE,171968009,no,unknown,3991,TRUE,1.086,3674,human
FALSE,FALSE,16893,1290,862,TRUE,301729291,,"ZN, Rio de Janeiro ",19959,FALSE,5.907,3379,human
FALSE,FALSE,1494,292,633,TRUE,74450446,en,"Paducah, KY",4591,FALSE,1.151,3990,human
FALSE,FALSE,5030,748,830,TRUE,1604847120,en,"Ann Arbor, MI",4298,FALSE,1.661,2588,human
FALSE,FALSE,57613,178618,5021,TRUE,362284562,en,Sin City,86501,TRUE,26.364,3281,human
TRUE,FALSE,585,64,70,FALSE,1719404058,,unknown,762,FALSE,0.3,2543,bot
TRUE,FALSE,3123,338,986,TRUE,2444756510,en,NYC,2842,FALSE,1.226,2318,human
TRUE,FALSE,1429,3,0,FALSE,568854046,,unknown,2147,FALSE,0.708,3031,bot
TRUE,FALSE,6493,236,1109,TRUE,867436081,es,"Valledupar, Colombia",11636,FALSE,4.052,2872,bot
TRUE,TRUE,3,11,2055,FALSE,3164603961,,unknown,7,FALSE,0.004,1954,bot
TRUE,FALSE,54,0,0,FALSE,7.73E+17,en,unknown,123,FALSE,0.085,1444,human
FALSE,FALSE,2411,117,193,TRUE,318768709,en,Kuwait-Egypt,1725,FALSE,0.515,3351,human
TRUE,FALSE,29,0,37,FALSE,8.35E+17,en,Arlington,242,FALSE,0.19,1271,bot
FALSE,FALSE,4922,438,357,TRUE,1733822028,,"Littleton, Colorado",6827,FALSE,2.689,2539,human
FALSE,FALSE,3006,284,358,TRUE,328205906,es,unknown,20257,FALSE,6.074,3335,bot
TRUE,FALSE,120,1,0,FALSE,8.91E+17,,unknown,239,FALSE,0.214,1118,human
FALSE,FALSE,162711,434,326,FALSE,217319002,en,NorCal,56232,FALSE,15.791,3561,human
TRUE,FALSE,28751,200,314,TRUE,4903929447,en,unknown,2465,FALSE,1.495,1649,human
TRUE,FALSE,319,0,0,FALSE,8.95E+17,,unknown,648,FALSE,0.585,1107,human
FALSE,FALSE,0,15,49,FALSE,1661470322,,unknown,2168,FALSE,0.845,2565,bot
TRUE,FALSE,6,344912,894,TRUE,28313220,hu,"İstanbul, Türkiye",1187,FALSE,0.286,4157,human
TRUE,FALSE,2,156882,33,FALSE,214697607,sw,Thailand,136,FALSE,0.038,3568,human
FALSE,FALSE,2080,82,150,FALSE,242484876,en,"Miami, Fl",2876,FALSE,0.823,3494,bot
TRUE,FALSE,38,26,7,FALSE,3483877814,,unknown,5283,FALSE,2.924,1807,bot
FALSE,FALSE,4902,9175,4701,TRUE,18089641,en,"Raleigh, NC",13635,TRUE,3.195,4267,human
TRUE,FALSE,1393,7636,3732,FALSE,316147373,en,Blockchain Network,5319,FALSE,1.585,3355,human
TRUE,FALSE,253,18,233,FALSE,969672378,en,unknown,54,FALSE,0.019,2824,bot
TRUE,FALSE,1466,40,99,TRUE,293340865,,"Providence, RI",2247,FALSE,0.662,3394,bot
